Precinct,Yes,No,Total_Vote%,Yes%
Minneapolis W-1 P-1,273,240,53.1,53.22
Minneapolis W-1 P-2,916,910,61.5,50.16
Minneapolis W-1 P-3,882,793,66.6,52.66
Minneapolis W-1 P-4,809,671,64,54.66
Minneapolis W-1 P-5,645,654,63.3,49.65
Minneapolis W-1 P-6,853,493,55.2,63.37
Minneapolis W-1 P-7,658,263,43.5,71.44
Minneapolis W-1 P-8,505,303,54.5,62.50
Minneapolis W-1 P-9,933,531,50.5,63.73
Minneapolis W-1 P-10,298,291,58.6,50.59
Minneapolis W-2 P-1,617,298,58.1,67.43
Minneapolis W-2 P-2,681,379,71.6,64.25
Minneapolis W-2 P-3,676,204,42.5,76.82
Minneapolis W-2 P-4,271,40,35.8,87.14
Minneapolis W-2 P-5,785,423,42.6,64.98
Minneapolis W-2 P-6,419,319,59.7,56.78
Minneapolis W-2 P-7,201,86,50.4,70.03
Minneapolis W-2 P-8,"1,120",981,75.1,53.31
Minneapolis W-2 P-9,357,168,58.8,68.00
Minneapolis W-2 P-10,465,93,41.2,83.33
Minneapolis W-2 P-11,611,417,68.1,59.44
Minneapolis W-3 P-1,302,84,23.5,78.24
Minneapolis W-3 P-2,811,346,40.3,70.10
Minneapolis W-3 P-3,983,"1,152",52.6,46.04
Minneapolis W-3 P-4,438,292,55.3,60.00
Minneapolis W-3 P-5,674,496,56.3,57.61
Minneapolis W-3 P-6,"1,123",634,51,63.92
Minneapolis W-3 P-7,546,779,53.9,41.21
Minneapolis W-3 P-8,425,651,55,39.50
Minneapolis W-3 P-9,719,"1,414",54.9,33.71
Minneapolis W-3 P-10,332,258,48.6,56.27
Minneapolis W-3 P-11,358,513,50.9,41.10
Minneapolis W-3 P-12,244,288,42.9,45.86
Minneapolis W-3 P-13,274,61,29.2,81.79
Minneapolis W-4 P-1,322,373,39.1,46.33
Minneapolis W-4 P-2,496,525,36.2,48.58
Minneapolis W-4 P-3,264,202,31.1,56.65
Minneapolis W-4 P-4,661,695,51.4,48.75
Minneapolis W-4 P-5,567,452,34.7,55.64
Minneapolis W-4 P-6,381,303,35.8,55.70
Minneapolis W-4 P-7,496,623,60,44.33
Minneapolis W-4 P-8,544,426,40.7,56.08
Minneapolis W-5 P-1,519,381,38.6,57.67
Minneapolis W-5 P-2,330,294,28.2,52.88
Minneapolis W-5 P-3,320,213,31.9,60.04
Minneapolis W-5 P-4,329,280,42.5,54.02
Minneapolis W-5 P-5,331,262,38.9,55.82
Minneapolis W-5 P-6C,166,103,38.7,61.71
Minneapolis W-5 P-7,401,188,27.2,68.08
Minneapolis W-5 P-8,345,237,26.3,59.28
Minneapolis W-5 P-9,455,229,42.2,66.52
Minneapolis W-6 P-1,339,139,60.8,70.92
Minneapolis W-6 P-2,792,179,50.2,81.57
Minneapolis W-6 P-3,"1,187",132,49.8,89.99
Minneapolis W-6 P-4,477,264,36.3,64.37
Minneapolis W-6 P-5,375,86,39.8,81.34
Minneapolis W-6 P-6,296,110,32.2,72.91
Minneapolis W-6 P-7,221,87,37.5,71.75
Minneapolis W-6 P-8,367,171,43.5,68.22
Minneapolis W-6 P-9,574,173,40.2,76.84
Minneapolis W-7 P-1C,345,479,75.4,41.87
Minneapolis W-7 P-2D,232,958,71.4,19.50
Minneapolis W-7 P-3,722,872,63.7,45.29
Minneapolis W-7 P-4D,485,"1,051",57.1,31.58
