address,Community_x,TID_x,Community_y,TID_y,LicExpDate,category,licenseNumber
3522 Harriet Ave #102,Powderhorn,302824320215.0,,302824320214,03/01/2023,CHOWNEXMPT,LIC114515
3522 Harriet Ave #203,Powderhorn,302824320223.0,,302824320214,03/01/2023,CONVEXEMPT,LIC385740
3522 Harriet Ave #204,Powderhorn,302824320224.0,,302824320214,03/01/2022,CONVEXEMPT,LIC355438
3522 Harriet Ave #205,Powderhorn,302824320225.0,,302824320214,03/01/2022,CHOWNEXMPT,LIC152688
3522 Harriet Ave #207,Powderhorn,302824320227.0,,302824320214,03/01/2022,CONVEXEMPT,LIC386124
3522 Harriet Ave #304,Powderhorn,302824320231.0,,302824320214,03/01/2023,CHOWNEXMPT,LIC130354
3522 Harriet Ave #305,Powderhorn,302824320232.0,,302824320214,03/01/2023,CHOWNEXMPT,LIC153077
3515 Clinton Ave,Powderhorn,302824410172.0,,302824410171,03/01/2022,CONVEXEMPT,LIC391163
3517 Clinton Ave,Powderhorn,302824410173.0,,302824410171,03/01/2023,CHOWNEXMPT,LIC147440
3519 Clinton Ave,Powderhorn,302824410174.0,,302824410171,03/01/2022,CONV,LIC131096
3133 Girard Ave S #3,Calhoun Isle,402824120175.0,,402824120173,03/01/2022,CONV,LIC124404
3133 Girard Ave S #4,Calhoun Isle,402824120176.0,,402824120173,03/01/2023,CONV,LIC324708
3049 Lake Shore Dr #3049B,Calhoun Isle,502824220039.0,,502824229000,03/01/2022,CONVEXEMPT,LIC396286
3055 Lake Shore Dr #3055,Calhoun Isle,502824220042.0,,502824229000,03/01/2022,CHOWNEXMPT,LIC277539
4236 Upton Ave S #104,Southwest,802824420128.0,,802824420125,03/01/2023,CHOWNEXMPT,LIC126004
4236 Upton Ave S #204,Southwest,802824420133.0,,802824420125,03/01/2023,CHOWNEXMPT,LIC114258
4236 Upton Ave S #205,Southwest,802824420134.0,,802824420125,03/01/2022,CHOWNEXMPT,LIC154914
4236 Upton Ave S #304,Southwest,802824420139.0,,802824420125,03/01/2023,CHOWNEXMPT,LIC131819
4236 Upton Ave S #306,Southwest,802824420141.0,,802824420125,03/01/2023,CHOWNEXMPT,LIC278361
320 44Th St E,Nokomis,1002824410159.0,,1002824410157,03/01/2023,CONV,LIC131836
819 24Th Ave Ne,Northeast,1102924410225.0,,1102924410185,03/01/2023,CHOWN,LIC388087
4815 28Th Ave S #213,Nokomis,1302824140204.0,,1302824140202,03/01/2023,CHOWNEXMPT,LIC148864
4815 28Th Ave S #215,Nokomis,1302824140206.0,,1302824140202,03/01/2022,CHOWNEXMPT,LIC113766
4815 28Th Ave S #311,Nokomis,1302824140210.0,,1302824140202,03/01/2022,CONVEXEMPT,LIC377257
4815 28Th Ave S #516,Nokomis,1302824140231.0,,1302824140202,03/01/2022,CONVEXEMPT,LIC386401
4815 28Th Ave S #518,Nokomis,1302824140233.0,,1302824140202,03/01/2022,CONVEXEMPT,LIC374211
4815 28Th Ave S #611,Nokomis,1302824140234.0,,1302824140202,03/01/2023,CHOWNEXMPT,LIC130872
121 9Th Ave Ne,Northeast,1402924320152.0,,1402924320092,03/01/2022,CHOWNEXMPT,LIC274095
123 9Th Ave Ne,Northeast,1402924320153.0,,1402924320092,03/01/2023,CONV,LIC380699
5545 Chicago Ave #301,Nokomis,2302824210182.0,,2302824210164,03/01/2023,CHOWNEXMPT,LIC133370
5545 Chicago Ave #103,Nokomis,2302824210166.0,,2302824210164,03/01/2023,CONVEXEMPT,LIC107986
220 5Th St Ne,Northeast,2302924120134.0,,2302924120132,03/01/2022,CHOWNEXMPT,LIC281150
216 5Th St Ne,Northeast,2302924120136.0,,2302924120132,03/01/2023,CHOWNEXMPT,LIC144751
110 Bank St #L703,University,2302924130201.0,,2302924139001,03/01/2022,CONVEXEMPT,LIC360196
110 Bank St #L801,University,2302924130204.0,,2302924139001,03/01/2023,CHOWNEXMPT,LIC271643
110 Bank St #L1104,University,2302924130222.0,,2302924139001,03/01/2022,CHOWNEXMPT,LIC126625
110 Bank St #L1702,University,2302924130245.0,,2302924139001,03/01/2023,CHOWNEXMPT,LIC132919
110 Bank St #L2004,University,2302924130262.0,,2302924139001,03/01/2023,CONVEXEMPT,LIC377651
110 Bank St #L103,University,2302924130172.0,,2302924139001,03/01/2022,CONVEXEMPT,LIC375554
183 Island Ave E,University,2302924220107.0,,2302924220085,03/01/2023,CHOWNEXMPT,LIC113200
514 20Th Ave S,University,2502924320629.0,,2502924320465,03/01/2023,CHOWNEXMPT,LIC199714
1240 2Nd St S #103,Central,2602924110601.0,,2602924119100,03/01/2023,CONVEXEMPT,LIC386233
1240 2Nd St S #110,Central,2602924110608.0,,2602924119100,03/01/2023,CONVEXEMPT,LIC390926
1240 2Nd St S #116,Central,2602924110614.0,,2602924119100,03/01/2023,CONVEXEMPT,LIC389834
1240 2Nd St S #118,Central,2602924110616.0,,2602924119100,03/01/2023,CONVEXEMPT,LIC385718
1240 2Nd St S #120,Central,2602924110618.0,,2602924119100,03/01/2022,CONVEXEMPT,LIC379875
1240 2Nd St S #204,Central,2602924110626.0,,2602924119100,03/01/2022,CONVEXEMPT,LIC381578
1240 2Nd St S #211,Central,2602924110627.0,,2602924119100,03/01/2023,CONVEXEMPT,LIC381587
1240 2Nd St S #215,Central,2602924110631.0,,2602924119100,03/01/2023,CONVEXEMPT,LIC387899
1240 2Nd St S #218,Central,2602924110634.0,,2602924119100,03/01/2023,CONVEXEMPT,LIC374157
1240 2Nd St S #224,Central,2602924110639.0,,2602924119100,03/01/2022,CONVEXEMPT,LIC392789
1240 2Nd St S #225,Central,2602924110640.0,,2602924119100,03/01/2023,CONVEXEMPT,LIC379979
1240 2Nd St S #1122,Central,2602924110901.0,,2602924119100,03/01/2023,CONVEXEMPT,LIC382463
1240 2Nd St S #1127,Central,2602924110906.0,,2602924119100,03/01/2022,CONVEXEMPT,LIC396791
1240 2Nd St S #1133,Central,2602924110912.0,,2602924119100,03/01/2023,CONVEXEMPT,LIC381982
1240 2Nd St S #1227,Central,2602924110926.0,,2602924119100,03/01/2023,CHOWNEXMPT,LIC396809
1240 2Nd St S #1302,Central,2602924110929.0,,2602924119100,03/01/2023,CONVEXEMPT,LIC393852
1240 2Nd St S #1305,Central,2602924110932.0,,2602924119100,03/01/2023,CONVEXEMPT,LIC388060
1240 2Nd St S #1323,Central,2602924110937.0,,2602924119100,03/01/2022,CONVEXEMPT,LIC389306
1240 2Nd St S #903,Central,2602924110849.0,,2602924119100,03/01/2022,CONVEXEMPT,LIC395841
1240 2Nd St S #905,Central,2602924110851.0,,2602924119100,03/01/2022,CONVEXEMPT,LIC395609
1240 2Nd St S #721,Central,2602924110801.0,,2602924119100,03/01/2022,CONVEXEMPT,LIC386128
1240 2Nd St S #424,Central,2602924110705.0,,2602924119100,03/01/2022,CONVEXEMPT,LIC392889
1240 2Nd St S #429,Central,2602924110710.0,,2602924119100,03/01/2023,CONVEXEMPT,LIC380811
1240 2Nd St S #605,Central,2602924110752.0,,2602924119100,03/01/2023,CHOWNEXMPT,LIC396587
1240 2Nd St S #515,Central,2602924110729.0,,2602924119100,03/01/2023,CONVEXEMPT,LIC386379
1240 2Nd St S #520,Central,2602924110734.0,,2602924119100,03/01/2022,CONVEXEMPT,LIC379872
1240 2Nd St S #1502,Central,2602924110959.0,,2602924119100,03/01/2023,CONVEXEMPT,LIC379494
1240 2Nd St S #1702,Central,2602924110969.0,,2602924119100,03/01/2023,CONVEXEMPT,LIC384589
