address_x,Community,TID,LicExpDate,address_y,licenseNumber
,,1602924140131,03/01/2022,2100 Dupont Ave N,LIC131317
,,2002924410039,03/01/2023,500 Russell Ave N,LIC130318
,,3202924340043,03/01/2022,3118 Lake St W,LIC397625
,,2702924130088,03/01/2022,95 10Th St S,LIC397353
,,102824210126,03/01/2022,3027 22Nd Ave S,LIC396921
,,2402924130132,03/01/2023,1040 Como Ave Se,LIC397307
,,2502924220365,03/01/2023,2020 1St St S #61,LIC131555
,,3302924149001,03/01/2023,2500 Lyndale Ave S #2504B,LIC130395
,,2502924440101,03/01/2023,2819 8Th St S,LIC131953
,,802824319000,03/01/2022,3110 44Th St W #2,LIC134911
,,802924430081,03/01/2022,2727 Upton Ave N,LIC133926
,,1002924320193,03/01/2022,617 Lowry Ave N,LIC361334
,,2502924320565,03/01/2023,705 19Th Ave S #A,LIC135469
,,2502924430147,03/01/2023,2622 8Th St S,LIC133951
,,2502924430218,03/01/2023,715 26Th Ave S #A,LIC135470
,,3202924340534,03/01/2022,3104 Lake St W #109,LIC134147
,,2302924320261,03/01/2023,17 1St St S,LIC136617
,,3502924140215,03/01/2023,2526 Cedar Ave S,LIC136388
,,2302924340077,03/01/2022,428 2Nd St S,LIC107985
,,2502924320463,03/01/2022,616 20Th Ave S,LIC111366
,,2502924330229,03/01/2023,712 20Th Ave S #A,LIC112731
,,3502924120184,03/01/2023,2205 13Th Ave S,LIC113461
,,3502924129001,03/01/2023,1335 23Rd St E,LIC113255
,,2502924320242,03/01/2023,519 19Th Ave S,LIC114645
,,2502924320240,03/01/2023,525 19Th Ave S,LIC114537
,,2302924110094,03/01/2023,709 2Nd Ave Se,LIC115259
,,2502924320567,03/01/2023,625 19Th Ave S #A,LIC114644
,,2502924330224,03/01/2023,720 20Th Ave S #A,LIC114901
,,2502924330227,03/01/2023,1926 8Th St S #A,LIC114076
,,2502924430190,03/01/2023,2615 8Th St S,LIC114749
,,302824320089,03/01/2022,3446 Grand Ave S,LIC370785
,,102824220130,03/01/2023,1849 31St St E,LIC396794
,,2602924230051,03/01/2022,816 Portland Ave,LIC364713
,,2402924140058,03/01/2023,1519 Rollins Ave Se,LIC367004
,,2702924449001,03/01/2022,1800 4Th Ave S #4,LIC378301
,,2502924420081,03/01/2023,604 27Th Ave S #A,LIC116493
,,3502924120188,03/01/2023,1300 23Rd St E,LIC116476
,,602823420025,03/01/2022,3415 41St Ave S,LIC118678
,,2502924320243,03/01/2023,517 19Th Ave S,LIC120670
,,1602924420162,03/01/2022,1822 Fremont Ave N,LIC120257
,,2502924320563,03/01/2023,701 19Th Ave S #A,LIC121800
,,2502924330226,03/01/2023,1928 8Th St S,LIC121798
,,2502924440039,03/01/2022,811 28Th Ave S,LIC120093
,,1502924220053,03/01/2022,620 23Rd Ave N,LIC122605
,,3502924140045,03/01/2023,2445 16Th Ave S,LIC123839
,,902924430246,03/01/2023,2707 Dupont Ave N,LIC125046
,,1202824120239,03/01/2023,3800 28Th Ave S,LIC124196
,,1602924420157,03/01/2022,1816 Fremont Ave N,LIC126300
,,1302824130039,03/01/2022,4936 28Th Ave S,LIC129606
,,1702924419100,03/01/2022,2205 Golden Valley Rd,LIC127892
,,2702924440001,03/01/2023,1928 Portland Ave,LIC131249
,,2502924320226,03/01/2023,510 20Th Ave S,LIC131719
,,202824140085,03/01/2023,3243 18Th Ave S,LIC143562
,,802924140046,03/01/2023,2520 Lowry Ave N,LIC144291
,,2602924310027,03/01/2023,1609 10Th Ave S,LIC143593
,,3502924140005,03/01/2022,2433 Bloomington Ave,LIC144948
,,1402824320155,03/01/2023,5116 Oakland Ave,LIC148527
,,3302924419004,03/01/2023,2639 Colfax Ave S #003,LIC148351
,,202824140167,03/01/2023,3253 Bloomington Ave,LIC154110
,,102824210120,03/01/2023,2340 32Nd St E,LIC156851
,,1702924410108,03/01/2022,1637 Penn Ave N,LIC174026
,,3502924130139,03/01/2023,2507 15Th Ave S,LIC189567
,,1502924220032,03/01/2023,426 23Rd Ave N,LIC203973
,,2502924430098,03/01/2023,2630 8Th St S,LIC235490
,,2602924310044,03/01/2022,1425 10Th Ave S,LIC238238
,,2602924310115,03/01/2022,1509 10Th Ave S,LIC235494
,,2602924310116,03/01/2022,1020 17Th St E,LIC241802
,,1211821340031,03/01/2023,4655 Aldrich Ave N,LIC256365
,,2702924440008,03/01/2023,501 19Th St E,LIC259374
,,2102924420070,03/01/2022,400 Humboldt Ave N,LIC263598
,,2602924310112,03/01/2022,1510 11Th Ave S,LIC263923
,,2602924310028,03/01/2023,1617 10Th Ave S,LIC265706
,,3502924430207,03/01/2023,2810 Bloomington Ave,LIC261506
,,3502924349000,03/01/2023,2929 Chicago Ave #201,LIC266650
,,1602924420161,03/01/2022,1820 Fremont Ave N,LIC270738
,,802924420106,03/01/2023,2613 Lowry Ave N,LIC275072
,,2102924420027,03/01/2022,544 Humboldt Ave N,LIC275277
,,2602924129006,03/01/2023,818 3Rd St S #D,LIC278125
,,2702924440002,03/01/2023,1920 Portland Ave,LIC279917
,,3202924340513,03/01/2023,3141 Dean Ct #501,LIC278368
,,2602924310026,03/01/2023,1607 10Th Ave S,LIC282569
,,2102924420054,03/01/2022,500 Humboldt Ave N,LIC291300
,,2202924330054,03/01/2022,177 Glenwood Ave,LIC305086
,,2102924420114,03/01/2022,1249 Olson Memorial Hwy,LIC308154
,,202824320155,03/01/2023,3500 Chicago Ave,LIC330438
,,502824220035,03/01/2023,3430 List Pl,LIC344652
,,2202924410095,03/01/2022,101 1St Ave N,LIC351512
,,302824320235,03/01/2023,3539 Grand Ave S,LIC356204
,,2402924210207,03/01/2023,815 9Th Ave Se,LIC356279
,,1202924320244,03/01/2023,2200 Fillmore St Ne,LIC359062
,,2702924210223,03/01/2022,1205 Chestnut Ave,LIC361384
,,2702924410091,03/01/2022,500 14Th St E,LIC370165
,,2602924229000,03/01/2023,433 7Th St S #1623,LIC381641
,,902924420204,03/01/2022,2945 Dupont Ave N,LIC378932
,,1602924230244,03/01/2022,2210 James Ave N,LIC226336
,,3402924130256,03/01/2022,2432 Stevens Ave,LIC372815
,,3202924110149,03/01/2022,2424 22Nd St W,LIC382013
,,2602924240125,03/01/2022,618 9Th Ave S,LIC389526
,,3402924330062,03/01/2022,2905 Harriet Ave,LIC388561
,,902824449003,03/01/2022,4521 Colfax Ave S,LIC393197
,,2202924120131,03/01/2022,730 1/2 1St St N,LIC389868
,,2702924249000,03/01/2022,1225 Lasalle Ave #1202,LIC390510
,,1802823120093,03/01/2022,4621 Snelling Ave,LIC381387
,,2602924239003,03/01/2023,521 7Th St S #709,LIC373087
,,2302924120090,03/01/2022,315 1St Ave Ne,LIC385008
,,2802924220074,03/01/2023,216 Oliver Ave S,LIC387901
,,702823229000,03/01/2023,3900 Minnehaha Ave,LIC386016
,,2802924349004,03/01/2023,1766 Humboldt Ave S,LIC385015
,,1102924330116,03/01/2022,1727 3Rd St Ne,LIC386296
,,3502924330178,03/01/2022,2821 Portland Ave,LIC395844
,,202824130063,03/01/2023,3234 Bloomington Ave,LIC385171
,,2702924310069,03/01/2022,1500 Nicollet Ave,LIC385180
,,3202924439100,03/01/2023,3036 Lake St W,LIC385098
,,2302924119100,03/01/2023,113 5Th St Se,LIC389579
,,102924210198,03/01/2022,3547 Pierce St Ne,LIC392145
,,3402924229008,03/01/2022,2309 Lyndale Ave S,LIC380657
,,202824339004,03/01/2023,3719 Columbus Ave,LIC390519
,,1202924230017,03/01/2023,948 26Th Ave Ne,LIC376874
,,102824210105,03/01/2022,3029 22Nd Ave S,LIC375068
,,2302924340027,03/01/2023,240 Park Ave,LIC392214
,,402824219003,03/01/2022,3014 Holmes Ave S,LIC390760
,,2702924310060,03/01/2022,1400 Nicollet Ave,LIC390195
,,2802924410842,03/01/2023,48 Groveland Terr #B312,LIC391408
,,2602924329004,03/01/2022,812 10Th St S,LIC391427
,,1202924330213,03/01/2023,1846 Polk St Ne,LIC391438
,,2202924210435,03/01/2023,1020 3Rd St N,LIC391433
,,2602924120064,03/01/2023,1111 Washington Ave S,LIC392397
,,2702924339003,03/01/2022,412 Ridgewood Ave,LIC392534
,,2802924419001,03/01/2022,311 Kenwood Pkwy,LIC390346
,,302824229003,03/01/2023,3044 Pleasant Ave,LIC392629
,,2402924130017,03/01/2022,1200 Brook Ave Se,LIC393069
,,1702823329001,03/01/2022,5136 Hiawatha Ave,LIC396541
,,1402924140110,03/01/2023,900 14Th Ave Ne,LIC396218
,,2402924220127,03/01/2022,501 8Th St Se,LIC392788
,,2402924220119,03/01/2022,821 6Th Ave Se,LIC393471
,,902924440089,03/01/2022,2709 Aldrich Ave N,LIC393507
,,302924440076,03/01/2023,2931 Marshall St Ne,LIC394536
,,3302924430022,03/01/2022,2817 Girard Ave S,LIC393729
,,2602924320263,03/01/2023,1400 Park Ave,LIC394770
,,1302924330080,03/01/2022,415 Taylor St Ne,LIC395271
,,1302924320089,03/01/2022,623 Taylor St Ne,LIC395368
