city,estimated_market_value,geocoded_column,parcel_id,property_type,state,street_address,tax_year,zip_code
ST PAUL,63000,,332923320001,Real Property,MN,UNASSIGNED,2020,55104
ST PAUL,11800,,332923410086,Real Property,MN,0  SHIELDS AVE,2020,55104
ST PAUL,71500,,322923230038,Real Property,MN,0  FRONTENAC PL,2020,55104
ST PAUL,136100,,262923340011,Real Property,MN,0  MILTON ST N,2020,55104
ST PAUL,95400,,322923310002,Real Property,MN,0  FRONTENAC PL,2020,55104
ST PAUL,50000,,322923230035,Real Property,MN,0  FRONTENAC PL,2020,55104
ST PAUL,522900,,322923310044,Real Property,MN,0  PELHAM BLVD,2020,55104
ST PAUL,11400,,352923130091,Real Property,MN,0  EDMUND AVE,2020,55104
ST PAUL,3100,,352923430044,Real Property,MN,0  IGLEHART AVE,2020,55104
ST PAUL,2200,,352923440067,Real Property,MN,0  MARSHALL AVE,2020,55104
ST PAUL,28900,,322923320009,Real Property,MN,0  FRONTENAC PL,2020,55104
ST PAUL,7700,,352923240233,Real Property,MN,0  EDMUND AVE,2020,55104
ST PAUL,66000,,022823110164,Real Property,MN,0  SELBY AVE,2020,55104
ST PAUL,44000,,012823230256,Real Property,MN,0  ASHLAND AVE,2020,55104
ST PAUL,466300,,022823210262,Real Property,MN,0  SELBY AVE,2020,55104
ST PAUL,50800,,332923420081,Real Property,MN,0  ALDINE ST,2020,55104
ST PAUL,103400,,032823210078,Real Property,MN,0  MARSHALL AVE,2020,55104
ST PAUL,76500,,342923240214,Real Property,MN,0  SHERBURNE AVE,2020,55104
ST PAUL,303200,"{'type': 'Point', 'coordinates': [-93.133944, 44.959804]}",352923120206,Real Property,MN,618  AVON ST N,2020,55104
ST PAUL,142300,,032823130099,Real Property,MN,0  HAMLINE AVE N,2020,55104
ST PAUL,215100,,022823140036,Real Property,MN,0  GROTTO ST N,2020,55104
ST PAUL,7900,,322923230106,Real Property,MN,0  FRONTENAC PL,2020,55104
ST PAUL,41000,"{'type': 'Point', 'coordinates': [-93.143523, 44.945002]}",022823220170,Real Property,MN,1029  LAUREL AVE,2020,55104
ST PAUL,55900,,032823120038,Real Property,MN,0  MARSHALL AVE,2020,55104
ST PAUL,56700,"{'type': 'Point', 'coordinates': [-93.141781, 44.944967]}",022823220240,Real Property,MN,985  LAUREL AVE,2020,55104
ST PAUL,142600,,352923320150,Real Property,MN,LEXINGTON PKWY N,2020,55104
ST PAUL,40100,,342923340047,Real Property,MN,0  MARSHALL AVE,2020,55104
ST PAUL,71400,,032823210017,Real Property,MN,0  SELBY AVE,2020,55104
ST PAUL,41000,"{'type': 'Point', 'coordinates': [-93.142733, 44.944986]}",022823220175,Real Property,MN,1009  LAUREL AVE,2020,55104
ST PAUL,448000,"{'type': 'Point', 'coordinates': [-93.142592, 44.94745]}",022823220230,Real Property,MN,1004  DAYTON AVE,2020,55104
ST PAUL,60100,"{'type': 'Point', 'coordinates': [-93.143869, 44.945009]}",022823220168,Real Property,MN,1037  LAUREL AVE,2020,55104
ST PAUL,107600,,01440025,Personal Property,MN,HAMLINE AVE,2020,55104
ST PAUL,13200,,022823120048,Real Property,MN,0  MARSHALL AVE,2020,55104
ST PAUL,140400,,022823240129,Real Property,MN,0  LAUREL AVE,2020,55104
ST PAUL,25900,,032823210032,Real Property,MN,0  HAGUE AVE,2020,55104
ST PAUL,222200,,022823140208,Real Property,MN,0  LAUREL AVE,2020,55104
ST PAUL,2711700,"{'type': 'Point', 'coordinates': [-93.165167, 44.947427]}",032823220175,Real Property,MN,1533 DAYTON AVE,2020,55104
ST PAUL,129600,,022823210093,Real Property,MN,0  LAUREL AVE,2020,55104
ST PAUL,26200,,022823220076,Real Property,MN,0  SELBY AVE,2020,55104
ST PAUL,136000,,01990038,Personal Property,MN,PIERCE BUTLER RD,2020,55104
ST PAUL,193600,"{'type': 'Point', 'coordinates': [-93.12669, 44.945765]}",022823110322,Real Property,MN,630  HAGUE AVE,2020,55104
ST PAUL,322100,,032823220008,Real Property,MN,0  DAYTON AVE,2020,55104
ST PAUL,6500,,032823110018,Real Property,MN,0  DAYTON AVE,2020,55104
ST PAUL,190300,,01990016,Personal Property,MN,UNASSIGNED,2020,55104
ST PAUL,2900,,022823120256,Real Property,MN,UNASSIGNED,2020,55104
ST PAUL,41000,"{'type': 'Point', 'coordinates': [-93.143344, 44.944998]}",022823220171,Real Property,MN,1025  LAUREL AVE,2020,55104
ST PAUL,52300,,032823120002,Real Property,MN,0  MARSHALL AVE,2020,55104
ST PAUL,53800,,032823220033,Real Property,MN,0  SELBY AVE,2020,55104
ST PAUL,41000,"{'type': 'Point', 'coordinates': [-93.142583, 44.944983]}",022823220176,Real Property,MN,1005  LAUREL AVE,2020,55104
ST PAUL,47900,,022823220152,Real Property,MN,0  LAUREL AVE,2020,55104
ST PAUL,41000,"{'type': 'Point', 'coordinates': [-93.141974, 44.944971]}",022823220180,Real Property,MN,987  LAUREL AVE,2020,55104
ST PAUL,1372100,,022823140240,Real Property,MN,0  LAUREL AVE,2020,55104
ST PAUL,76700,,022823220153,Real Property,MN,0  LAUREL AVE,2020,55104
ST PAUL,7371900,,202923420130,Real Property,MN,0  COMO AVE,2020,55104
ST PAUL,801300,"{'type': 'Point', 'coordinates': [-93.158799, 44.942892]}",032823240156,Real Property,MN,1389 PORTLAND AVE,2020,55104
ST PAUL,35300,,022823220013,Real Property,MN,0  MARSHALL AVE,2020,55104
ST PAUL,129100,,022823140034,Real Property,MN,0  LAUREL AVE,2020,55104
ST PAUL,41700,,022823120095,Real Property,MN,0  DAYTON AVE,2020,55104
ST PAUL,43100,,022823140002,Real Property,MN,0  LAUREL AVE,2020,55104
ST PAUL,50400,,032823210004,Real Property,MN,0  MARSHALL AVE,2020,55104
ST PAUL,143800,,022823110302,Real Property,MN,0  HAGUE AVE,2020,55104
ST PAUL,18600,,022823110030,Real Property,MN,0  MARSHALL AVE,2020,55104
ST PAUL,330800,,282923330003,Real Property,MN,PRIOR AVE N,2020,55104
ST PAUL,15500,,01600009,Personal Property,MN,SNELLING AVE N,2020,55104
ST PAUL,93800,,272923310005,Real Property,MN,0  PIERCE BUTLER RTE,2020,55104
ST PAUL,201800,,01440102,Personal Property,MN,HAMLINE AVE,2020,55104
ST PAUL,41000,"{'type': 'Point', 'coordinates': [-93.143036, 44.944992]}",022823220173,Real Property,MN,1017  LAUREL AVE,2020,55104
ST PAUL,41000,"{'type': 'Point', 'coordinates': [-93.143681, 44.945005]}",022823220169,Real Property,MN,1033  LAUREL AVE,2020,55104
ST PAUL,68000,,01990036,Personal Property,MN,CONCORDIA AVE,2020,55104
ST PAUL,41000,"{'type': 'Point', 'coordinates': [-93.142884, 44.944989]}",022823220174,Real Property,MN,1011  LAUREL AVE,2020,55104
ST PAUL,60000,,042823220081,Real Property,MN,0  LAUREL AVE,2020,55104
ST PAUL,142800,,01990003,Personal Property,MN,PRIOR AVE N,2020,55104
ST PAUL,100,,022823210155,Real Property,MN,UNASSIGNED,2020,55104
ST PAUL,41000,"{'type': 'Point', 'coordinates': [-93.142278, 44.944977]}",022823220178,Real Property,MN,997  LAUREL AVE,2020,55104
ST PAUL,9400,,012823240010,Real Property,MN,0  ASHLAND AVE,2020,55104
ST PAUL,586400,"{'type': 'Point', 'coordinates': [-93.131718, 44.944931]}",022823120213,Real Property,MN,747 LAUREL AVE,2020,55104
ST PAUL,95200,,01990011,Personal Property,MN,UNIVERSITY AVE W,2020,55104
ST PAUL,87600,,01600023,Personal Property,MN,ROBLYN AVE,2020,55104
ST PAUL,41000,"{'type': 'Point', 'coordinates': [-93.142428, 44.94498]}",022823220177,Real Property,MN,1001  LAUREL AVE,2020,55104
ST PAUL,1105300,,022823210263,Real Property,MN,0  SELBY AVE,2020,55104
ST PAUL,41000,"{'type': 'Point', 'coordinates': [-93.142127, 44.944974]}",022823220179,Real Property,MN,991  LAUREL AVE,2020,55104
ST PAUL,39800,,042823140023,Real Property,MN,SNELLING AVE N,2020,55104
ST PAUL,41000,"{'type': 'Point', 'coordinates': [-93.143189, 44.944995]}",022823220172,Real Property,MN,1021  LAUREL AVE,2020,55104
ST PAUL,122000,,352923130218,Real Property,MN,UNIVERSITY AVE W,2020,55104
ST PAUL,55700,,342923340040,Real Property,MN,0  IGLEHART AVE,2020,55104
ST PAUL,319700,"{'type': 'Point', 'coordinates': [-93.149813, 44.955829]}",342923140229,Real Property,MN,1169 UNIVERSITY AVE W,2020,55104
ST PAUL,50000,,322923230033,Real Property,MN,0  FRONTENAC PL,2020,55104
ST PAUL,29900,,352923320019,Real Property,MN,0  AURORA AVE,2020,55104
ST PAUL,1374300,,342923410058,Real Property,MN,0  GRIGGS ST N,2020,55104
ST PAUL,835900,,032823220162,Real Property,MN,UNASSIGNED,2020,55104
ST PAUL,2267500,,322923320058,Real Property,MN,MISSISSIPPI RIVER BLVD N,2020,55104
ST PAUL,130800,,032823210081,Real Property,MN,0  SELBY AVE,2020,55104
ST PAUL,1145100,,032823440121,Real Property,MN,0  PORTLAND AVE,2020,55104
ST PAUL,184800,,042823110004,Real Property,MN,SNELLING AVE N,2020,55104
ST PAUL,33500,,032823210075,Real Property,MN,0  SELBY AVE,2020,55104
ST PAUL,42000,,342923420010,Real Property,MN,0  SYNDICATE ST N,2020,55104
ST PAUL,359400,,342923240233,Real Property,MN,UNIVERSITY AVE W,2020,55104
ST PAUL,119000,,332923140069,Real Property,MN,0  SHERBURNE AVE,2020,55104
ST PAUL,171800,,332923240040,Real Property,MN,0  OAKLEY AVE,2020,55104
ST PAUL,32400,,332923320023,Real Property,MN,0  CLEVELAND AVE N,2020,55104
ST PAUL,140900,,282923410001,Real Property,MN,SNELLING AVE N,2020,55104
ST PAUL,95400,,322923310004,Real Property,MN,0  DESNOYER AVE,2020,55104
ST PAUL,50700,,342923340039,Real Property,MN,0  IGLEHART AVE,2020,55104
ST PAUL,703100,"{'type': 'Point', 'coordinates': [-93.182325, 44.964637]}",282923340216,Real Property,MN,770 PRIOR AVE N,2020,55104
ST PAUL,1500,,342923310022,Real Property,MN,0  HAMLINE AVE N,2020,55104
ST PAUL,10700,,352923130004,Real Property,MN,0  THOMAS AVE,2020,55104
ST PAUL,50000,,322923230036,Real Property,MN,0  FRONTENAC PL,2020,55104
ST PAUL,59300,,332923420080,Real Property,MN,0  ALDINE ST,2020,55104
ST PAUL,800,,352923210056,Real Property,MN,0  LAFOND AVE,2020,55104
ST PAUL,1565800,,342923320016,Real Property,MN,0  PASCAL ST N,2020,55104
ST PAUL,1530300,,332923430104,Real Property,MN,UNASSIGNED,2020,55104
ST PAUL,68800,,332923130020,Real Property,MN,0  FAIRVIEW AVE N,2020,55104
ST PAUL,39100,,332923420136,Real Property,MN,0  WHEELER ST N,2020,55104
ST PAUL,257900,"{'type': 'Point', 'coordinates': [-93.135084, 44.961159]}",352923120222,Real Property,MN,827  BLAIR AVE,2020,55104
ST PAUL,335100,"{'type': 'Point', 'coordinates': [-93.162927, 44.946598]}",032823220160,Real Property,MN,1484  SELBY AVE,2020,55104
ST PAUL,552600,,322923340018,Real Property,MN,MISSISSIPPI RIVER BLVD N,2020,55104
ST PAUL,36000,,342923340031,Real Property,MN,0  CARROLL AVE,2020,55104
